,,0
80,1.6,0.821800766284
80,1.8,0.825325670498
80,2.0,0.827471264368
80,2.2,0.831992337165
80,2.4,0.835478927203
80,2.6,0.838888888889
80,2.8,0.837049808429
80,3.0,0.833639846743
80,3.2,0.829118773946
80,3.4,0.825402298851
80,3.6,0.823103448276
80,3.8,0.820421455939
80,4.0,0.81662835249
80,4.2,0.810268199234
80,4.4,0.801992337165
80,4.6,0.788582375479
80,4.8,0.778927203065
80,5.0,0.772490421456
80,5.2,0.769042145594
80,5.4,0.760268199234
80,5.6,0.745249042146
85,-0.4,0.744789272031
85,-0.2,0.756704980843
85,0.0,0.764674329502
85,0.2,0.772605363985
85,0.4,0.782605363985
85,0.6,0.792222222222
85,0.8,0.803409961686
85,1.0,0.811379310345
85,1.2,0.816819923372
85,1.4,0.820191570881
85,1.6,0.823908045977
85,1.8,0.828888888889
85,2.0,0.83183908046
85,2.2,0.836245210728
85,2.4,0.83846743295
85,2.6,0.84183908046
85,2.8,0.838812260536
85,3.0,0.834904214559
85,3.2,0.83245210728
85,3.4,0.828390804598
85,3.6,0.825402298851
85,3.8,0.821264367816
85,4.0,0.818237547893
85,4.2,0.812720306513
85,4.4,0.805325670498
85,4.6,0.794789272031
85,4.8,0.785517241379
85,5.0,0.774444444444
85,5.2,0.768659003831
85,5.4,0.75969348659
85,5.6,0.748850574713
90,-0.6,0.742911877395
90,-0.4,0.750076628352
90,-0.2,0.759846743295
90,0.0,0.769885057471
90,0.2,0.779923371648
90,0.4,0.79
90,0.6,0.804022988506
90,0.8,0.813869731801
90,1.0,0.820996168582
90,1.2,0.827624521073
90,1.4,0.832068965517
90,1.6,0.834942528736
90,1.8,0.837969348659
90,2.0,0.838697318008
90,2.2,0.842030651341
90,2.4,0.842835249042
90,2.6,0.841762452107
90,2.8,0.83938697318
90,3.0,0.838122605364
90,3.2,0.837164750958
90,3.4,0.831762452107
90,3.6,0.826973180077
90,3.8,0.823218390805
90,4.0,0.818429118774
90,4.2,0.808927203065
90,4.4,0.80337164751
90,4.6,0.793333333333
90,4.8,0.785210727969
90,5.0,0.776590038314
90,5.2,0.765670498084
90,5.4,0.758850574713
90,5.6,0.74877394636
95,-0.6,0.743831417625
95,-0.4,0.751417624521
95,-0.2,0.762796934866
95,0.0,0.775478927203
95,0.2,0.784329501916
95,0.4,0.795900383142
95,0.6,0.80908045977
95,0.8,0.817318007663
95,1.0,0.82367816092
95,1.2,0.828045977011
95,1.4,0.829961685824
95,1.6,0.833103448276
95,1.8,0.836475095785
95,2.0,0.838237547893
95,2.2,0.838659003831
95,2.4,0.835977011494
95,2.6,0.835095785441
95,2.8,0.836130268199
95,3.0,0.835708812261
95,3.2,0.831570881226
95,3.4,0.825785440613
95,3.6,0.820996168582
95,3.8,0.815019157088
95,4.0,0.811264367816
95,4.2,0.807701149425
95,4.4,0.801647509579
95,4.6,0.794482758621
95,4.8,0.786896551724
95,5.0,0.779961685824
95,5.2,0.771685823755
95,5.4,0.756398467433
95,5.6,0.746858237548
