,,bilateral,inconclusive,left,right
1.6,-1.0,1.61015002179e-06,2.69659711557e-06,5.96417948991e-09,0.999995687289
1.61,-1.0,1.62644436065e-06,2.69671783915e-06,5.98994119407e-09,0.999995670848
1.62,-1.0,1.64289784366e-06,2.69680133062e-06,6.0164027505e-09,0.999995654284
1.63,-1.0,1.65951105211e-06,2.69684663083e-06,6.04357176557e-09,0.999995637599
1.64,-1.0,1.67628454049e-06,2.69685278287e-06,6.07145600171e-09,0.999995620791
1.65,-1.0,1.69321883608e-06,2.69681883291e-06,6.10006337958e-09,0.999995603862
1.66,-1.0,1.71031443858e-06,2.69674383104e-06,6.12940198268e-09,0.999995586812
1.67,-1.0,1.72757181975e-06,2.69662683207e-06,6.15948006055e-09,0.999995569642
1.68,-1.0,1.74499142305e-06,2.69646689647e-06,6.19030603248e-09,0.999995552351
1.69,-1.0,1.7625736634e-06,2.69626309117e-06,6.22188849139e-09,0.999995534941
-0.1,-0.99,8.35376931912e-07,7.86376478073e-06,7.79059693149e-09,0.999991293068
-0.09,-0.99,8.41365895619e-07,7.84626320182e-06,7.73504492548e-09,0.999991304636
-0.08,-0.99,8.47409350676e-07,7.82884282614e-06,7.6801749622e-09,0.999991316068
-0.07,-0.99,8.53507899762e-07,7.81150360462e-06,7.62598008591e-09,0.999991327363
-0.06,-0.99,8.59662155299e-07,7.79424549218e-06,7.57245344985e-09,0.99999133852
-0.05,-0.99,8.65872739634e-07,7.77706844766e-06,7.5195883149e-09,0.999991349539
-0.04,-0.99,8.7214028521e-07,7.75997243388e-06,7.46737804823e-09,0.99999136042
-0.03,-0.99,8.78465434746e-07,7.74295741759e-06,7.41581612201e-09,0.999991371161
-0.02,-0.99,8.84848841426e-07,7.72602336946e-06,7.36489611214e-09,0.999991381763
-0.01,-0.99,5.88562464843e-07,5.37324276987e-06,8.69348010008e-09,0.999994029501
-5.55111512313e-17,-0.99,5.93071946841e-07,5.36651399759e-06,8.63258064737e-09,0.999994031781
